FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-09 00:00:00.000000,0.01360322,0.05786860,0.16224628,1,5,14,0,2,6,0.00741889,0.02933452,0.07481223,0.57562710,0.72229305,1.20780151
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-10 00:00:00.000000,0.01562866,0.06837051,0.18153923,1,6,16,0,2,6,0.00793335,0.03069183,0.07477702,0.57567776,0.72229337,1.20780149
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-11 00:00:00.000000,0.01778537,0.07946760,0.20173566,1,7,18,0,3,7,0.00900458,0.03428734,0.08460269,0.57577340,0.72229406,1.20780142
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-12 00:00:00.000000,0.02015247,0.09277145,0.22741752,1,8,20,0,3,8,0.00988569,0.03917775,0.09687926,0.57595361,0.72229561,1.20780123
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-13 00:00:00.000000,0.02349374,0.10818709,0.26276420,2,9,23,0,4,10,0.01098977,0.04477605,0.11147669,0.57629204,0.72229908,1.20780069
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-14 00:00:00.000000,0.02751763,0.12350965,0.29919578,2,11,26,1,4,11,0.01230040,0.05222839,0.12846679,0.57692360,0.72166455,1.20779907
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-15 00:00:00.000000,0.03213675,0.13813837,0.32562733,2,12,29,1,5,12,0.01381904,0.06026447,0.14104544,0.57808862,0.72042001,1.20779393
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-16 00:00:00.000000,0.05715922,0.17539654,0.38453777,5,15,34,1,6,13,0.01610639,0.06807841,0.15246990,0.58019362,0.71912726,1.20777637
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-17 00:00:00.000000,0.07364091,0.21277564,0.47036331,6,19,42,2,7,15,0.02328110,0.08058817,0.16687100,0.58078767,0.71909595,1.20600007
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-18 00:00:00.000000,0.09088670,0.25265205,0.54575164,8,22,49,2,8,16,0.03149719,0.09610278,0.18427259,0.58099500,0.71894217,1.19989033
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-19 00:00:00.000000,0.11093879,0.30075040,0.63690175,10,27,57,3,10,19,0.04009503,0.11368282,0.21672243,0.58606754,0.72311591,1.18174706
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-20 00:00:00.000000,0.13411613,0.35329102,0.72387635,12,31,65,4,12,23,0.04920834,0.13421991,0.26267112,0.55521723,0.72434345,1.19526095
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-21 00:00:00.000000,0.16100158,0.42068960,0.83270065,14,37,75,5,14,27,0.05993526,0.16009311,0.30348314,0.52327674,0.72869568,1.16729308
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-22 00:00:00.000000,0.19224078,0.49306805,0.96773212,17,44,87,6,17,32,0.07401171,0.19414219,0.35784715,0.51295866,0.73825465,1.22588385
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-23 00:00:00.000000,0.28258080,0.59356269,1.13093189,25,53,102,8,20,37,0.09014799,0.23154170,0.42063220,0.51189027,0.72914206,1.34250338
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-24 00:00:00.000000,0.34218960,0.68929627,1.28494704,30,62,115,10,24,44,0.11518360,0.27090687,0.49378889,0.51389393,0.72735981,1.45334965
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-25 00:00:00.000000,0.39982519,0.79252622,1.48273342,36,71,133,13,28,52,0.15391321,0.31688508,0.57856512,0.51743793,0.72701505,1.52829268
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-26 00:00:00.000000,0.47425738,0.91716531,1.70736667,42,82,154,16,33,61,0.18525115,0.37558769,0.67652464,0.52458182,0.72985596,1.56826102
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-27 00:00:00.000000,0.53827439,1.05593623,1.96265385,48,95,177,19,39,71,0.21974216,0.43483087,0.78953009,0.52454307,0.73884875,1.58445616
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-28 00:00:00.000000,0.60964039,1.22972319,2.25276983,55,110,203,23,45,82,0.25836943,0.50784057,0.91966037,0.53403345,0.77409311,1.58438873
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-29 00:00:00.000000,0.70043360,1.40012027,2.58232087,63,126,233,27,53,96,0.30602890,0.59491856,1.06938244,0.53401669,0.78981030,1.58571548
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-30 00:00:00.000000,0.80789927,1.58324354,2.94723475,72,142,265,32,62,112,0.35973150,0.68766815,1.24158121,0.55526599,0.80921359,1.56756579
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-03-31 00:00:00.000000,0.93483627,1.84824930,3.36228577,84,166,303,38,70,130,0.42355006,0.78643614,1.44104891,0.55573911,0.81630704,1.54601582
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-01 00:00:00.000000,1.05580414,2.13326303,3.83302785,95,192,345,44,81,148,0.49825543,0.90177423,1.64899856,0.55505486,0.82810062,1.53846127
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-02 00:00:00.000000,1.25132678,2.46029668,4.36588225,112,221,393,51,93,167,0.57175935,1.03974392,1.85619366,0.55698281,0.84035506,1.55881368
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-03 00:00:00.000000,1.45126190,2.79343153,4.99160656,130,252,450,58,108,188,0.64456271,1.19920131,2.08696515,0.56655093,0.87414069,1.57234415
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-04 00:00:00.000000,1.68011896,3.20158188,5.70409584,151,288,514,66,123,211,0.74160609,1.36699344,2.34377002,0.58737894,0.88921070,1.55550109
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-05 00:00:00.000000,1.94259567,3.66194965,6.58132844,175,330,593,76,141,241,0.84349844,1.56462086,2.67448149,0.61711420,0.89422296,1.56906148
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-06 00:00:00.000000,2.29940479,4.24882665,7.60323520,207,383,686,86,162,280,0.95891569,1.79836288,3.10383934,0.63208554,0.90515919,1.58168013
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-07 00:00:00.000000,2.69989882,4.86934024,8.76585605,243,439,790,100,185,324,1.10952688,2.05434957,3.59585460,0.63538426,0.92411111,1.59117477
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-08 00:00:00.000000,3.15623789,5.58704523,10.08352108,284,504,909,117,211,375,1.30058151,2.34278163,4.15813922,0.65706694,0.92595516,1.59612690
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-09 00:00:00.000000,3.62851668,6.39653476,11.57026840,327,577,1043,137,244,424,1.52251612,2.70570074,4.70016802,0.66653137,0.94135255,1.54013777
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-10 00:00:00.000000,4.14863096,7.36868952,13.23918983,374,664,1194,160,279,477,1.77798373,3.10020405,5.29545960,0.69647092,0.96621895,1.47919311
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-11 00:00:00.000000,4.73929523,8.45924359,15.10158320,427,763,1362,185,322,537,2.06030147,3.57694270,5.95365726,0.70566009,0.96129997,1.47560893
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-12 00:00:00.000000,5.40768146,9.61058253,17.14262582,487,867,1546,212,369,602,2.35466384,4.09992425,6.67957552,0.71503961,0.98068991,1.43109329
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-13 00:00:00.000000,6.16610308,10.88406470,19.03482133,556,982,1717,242,423,674,2.68897448,4.69146688,7.47836301,0.71669625,0.98081789,1.40735327
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-14 00:00:00.000000,7.02904907,12.36700020,21.07113011,634,1115,1901,276,485,753,3.06866885,5.38553451,8.34986217,0.71735902,0.97282108,1.45893345
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-15 00:00:00.000000,8.01715287,14.02035940,23.24562816,723,1265,2097,315,556,857,3.50022709,6.16248150,9.50747136,0.71764835,0.97150256,1.48028550
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-16 00:00:00.000000,9.15815982,15.73645880,25.57676654,826,1419,2307,360,630,976,3.99236427,6.99036570,10.82279493,0.72474355,0.96371687,1.54835885
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-17 00:00:00.000000,10.45638611,17.65612744,28.19062846,943,1593,2543,411,720,1105,4.55681243,7.98140753,12.24679471,0.72532751,0.95864792,1.67750001
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-18 00:00:00.000000,11.89662752,19.76952782,30.90356939,1073,1783,2788,469,815,1241,5.20189250,9.03882604,13.76402785,0.70942609,0.96792834,1.68358225
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-19 00:00:00.000000,13.48853439,22.20880064,33.66936063,1217,2003,3037,535,915,1386,5.92938449,10.14731002,15.36505862,0.70190363,0.96566301,1.63304419
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-20 00:00:00.000000,15.22849220,24.79594471,36.41730426,1374,2237,3285,612,1013,1536,6.78901702,11.23085289,17.02564952,0.69423259,0.93431912,1.53307421
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-21 00:00:00.000000,17.12242924,27.31725874,38.81276058,1544,2464,3502,704,1127,1687,7.80473368,12.49055390,18.69964924,0.69160069,0.91971676,1.54711381
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-22 00:00:00.000000,19.16502043,29.84826323,40.70875121,1729,2693,3673,804,1251,1832,8.91755583,13.86508378,20.30583691,0.67604574,0.92645399,1.55000678
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-23 00:00:00.000000,21.34503267,32.35528173,43.36592141,1925,2919,3912,899,1370,2001,9.96928483,15.19177842,22.18353275,0.65006012,0.92740471,1.55244109
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-24 00:00:00.000000,23.71663759,35.02073511,46.64779085,2139,3159,4209,1000,1490,2203,11.09278720,16.51392819,24.41869018,0.65336026,0.92812911,1.55681192
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-25 00:00:00.000000,26.29196850,37.40605722,48.88929237,2372,3375,4411,1108,1628,2402,12.28017564,18.04911258,26.62233034,0.64586233,0.93706665,1.58447841
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-26 00:00:00.000000,28.55736137,39.72853214,51.42987984,2576,3584,4640,1226,1751,2591,13.58930216,19.41565550,28.71845026,0.63814058,0.97507547,1.65666335
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-27 00:00:00.000000,30.88640463,41.92430309,52.40138160,2786,3782,4728,1342,1912,2775,14.88004933,21.19508506,30.76015654,0.62614351,0.95092928,1.70802819
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-28 00:00:00.000000,33.18218427,44.48708138,54.00409846,2994,4014,4872,1462,2066,2939,16.20971508,22.90701533,32.58224131,0.62635484,0.94808346,1.73239502
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-29 00:00:00.000000,35.33074107,46.78508846,55.42232511,3187,4221,5000,1584,2177,3082,17.55865859,24.13604068,34.15865427,0.62734258,0.95291018,1.74275261
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-04-30 00:00:00.000000,37.31795078,48.08186487,56.45871717,3367,4338,5094,1702,2318,3198,18.87123078,25.69235987,35.44342259,0.62976550,0.94973674,1.74420951
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-01 00:00:00.000000,39.10040568,48.74095126,56.43148551,3528,4397,5091,1817,2415,3284,20.14237280,26.77122400,36.40330402,0.64408176,0.95151674,1.69826513
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-02 00:00:00.000000,40.48348860,49.47468587,56.14381343,3652,4464,5065,1924,2487,3340,21.33280296,27.57172643,37.01978750,0.64327906,0.95204486,1.70353633
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-03 00:00:00.000000,40.63402585,49.34507781,56.77488792,3666,4452,5122,2014,2553,3364,22.32907396,28.30297450,37.28962893,0.65144813,0.95221195,1.67277804
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-04 00:00:00.000000,41.02059135,49.14039780,56.91750628,3701,4433,5135,2046,2597,3358,22.67781792,28.79030005,37.22389889,0.64883076,0.94960018,1.66975863
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-05 00:00:00.000000,41.16011312,48.38112307,56.58776938,3713,4365,5105,2075,2647,3389,22.99683380,29.33990248,37.56984246,0.64128273,0.94506654,1.66376225
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-06 00:00:00.000000,40.49818785,47.67161957,55.82795377,3654,4301,5037,2107,2648,3430,23.35986580,29.35070961,38.01838857,0.63768262,0.94580567,1.64718379
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-07 00:00:00.000000,38.68885416,46.36805562,54.69470274,3490,4183,4935,2121,2630,3443,23.51764039,29.14831483,38.16153447,0.63615862,0.94507527,1.60722105
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-08 00:00:00.000000,37.17955853,44.96117052,53.25467973,3354,4056,4805,2083,2603,3430,23.09025177,28.85192988,38.01459589,0.62580181,0.93555047,1.56862652
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-09 00:00:00.000000,35.76311156,43.29093366,51.57204784,3226,3906,4653,2044,2552,3392,22.66179706,28.28935918,37.60252353,0.61131171,0.93992154,1.62353641
51159,0,USVirginiaRichmond,Virginia,Richmond,2020-10-31 18:11:49.458989,2020-05-10 00:00:00.000000,34.18971474,41.74936287,49.68658582,3084,3767,4483,2009,2491,3334,22.27279674,27.60986548,36.95633226,0.62384289,0.91022844,1.65964758
