FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-09 00:00:00.000000,0.00998736,0.02849670,0.07285151,1,5,13,0,2,6,0.00343804,0.01330061,0.03569668,0.37535772,0.54976688,0.70677564
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-10 00:00:00.000000,0.01357903,0.03735913,0.08806268,2,7,16,0,2,6,0.00402391,0.01368183,0.03439954,0.37535770,0.54965763,0.70677112
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-11 00:00:00.000000,0.01676838,0.04879421,0.10529406,3,9,19,1,3,7,0.00537894,0.01615226,0.03840419,0.37535765,0.54948475,0.70675831
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-12 00:00:00.000000,0.02014031,0.05972325,0.11832511,3,11,22,1,3,8,0.00655188,0.01898603,0.04582989,0.37535752,0.54944982,0.70672162
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-13 00:00:00.000000,0.02370002,0.07007946,0.13069268,4,13,24,1,4,9,0.00786765,0.02242099,0.05264628,0.37535719,0.54944768,0.70661541
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-14 00:00:00.000000,0.02745530,0.08146304,0.14472605,5,15,27,1,5,11,0.00934834,0.02680836,0.05884203,0.37535625,0.54938106,0.70630591
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-15 00:00:00.000000,0.03141494,0.09442494,0.16413863,5,17,30,2,5,12,0.01096182,0.03161588,0.06626317,0.37535318,0.54779844,0.70540086
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-16 00:00:00.000000,0.04346354,0.10984193,0.17958726,8,20,33,2,7,14,0.01269225,0.03736339,0.07415789,0.37532459,0.54339587,0.70276299
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-17 00:00:00.000000,0.05385006,0.12023171,0.19677119,10,22,37,3,8,15,0.01612357,0.04341030,0.08182566,0.35277033,0.53542314,0.69523943
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-18 00:00:00.000000,0.06623843,0.13418709,0.21567054,12,25,40,3,9,16,0.02074448,0.04957698,0.08954616,0.34808951,0.52799787,0.67656885
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-19 00:00:00.000000,0.07321567,0.14846622,0.24499221,13,28,46,4,10,18,0.02559577,0.05683522,0.09731813,0.34077366,0.50901005,0.67503824
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-20 00:00:00.000000,0.08026587,0.16096485,0.27103505,15,30,51,5,11,19,0.02884051,0.06250485,0.10438988,0.30128586,0.48771120,0.65622008
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-21 00:00:00.000000,0.08486060,0.17522112,0.29335481,16,33,55,6,13,21,0.03193768,0.06964115,0.11472326,0.29977666,0.47278791,0.65044709
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-22 00:00:00.000000,0.08916828,0.18739659,0.32879465,16,35,62,6,14,25,0.03507604,0.07801282,0.13260091,0.27205003,0.43208577,0.63471811
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-23 00:00:00.000000,0.09756888,0.19960569,0.37157710,18,37,70,7,16,28,0.03820519,0.08523473,0.15021542,0.26072166,0.39547259,0.59694135
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-24 00:00:00.000000,0.10765965,0.21617520,0.42222899,20,40,79,7,17,32,0.04131496,0.09270046,0.17187058,0.25675327,0.38425458,0.54847944
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-25 00:00:00.000000,0.11449279,0.23346505,0.46834792,21,44,88,8,19,37,0.04443559,0.10096604,0.19685958,0.25400791,0.37219632,0.52301291
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-26 00:00:00.000000,0.12128028,0.25101560,0.50726440,22,47,95,8,20,41,0.04757474,0.10793473,0.22082358,0.23885887,0.36426342,0.50262910
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-27 00:00:00.000000,0.12800110,0.26606651,0.54043628,24,50,102,9,21,45,0.05149398,0.11563874,0.24337891,0.23207920,0.35053321,0.49926559
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-28 00:00:00.000000,0.13471325,0.27870770,0.57121365,25,52,107,10,23,49,0.05585042,0.12316341,0.26373252,0.21689400,0.33512836,0.49878215
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-29 00:00:00.000000,0.14146860,0.29333021,0.60052724,26,55,113,11,24,53,0.05924704,0.13041552,0.28202494,0.21493340,0.33090378,0.49588209
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-30 00:00:00.000000,0.15169801,0.30508188,0.61796324,28,57,116,11,26,56,0.06267314,0.13854348,0.29891188,0.20844766,0.32498993,0.46897495
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-03-31 00:00:00.000000,0.16435233,0.31958427,0.63457684,31,60,119,12,27,58,0.06718874,0.14675850,0.31236036,0.19296218,0.32008051,0.44147430
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-01 00:00:00.000000,0.17734728,0.33328299,0.64905749,33,62,122,13,28,61,0.07239840,0.15332148,0.32361641,0.19204868,0.31091230,0.43882718
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-02 00:00:00.000000,0.19066721,0.34459761,0.66042889,36,65,124,14,30,62,0.07809258,0.15910721,0.33320326,0.19088095,0.30100010,0.43854624
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-03 00:00:00.000000,0.19610647,0.35763504,0.66897333,37,67,126,15,31,64,0.08390431,0.16599990,0.34115214,0.18970866,0.29294583,0.43230311
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-04 00:00:00.000000,0.20912760,0.37574721,0.70446740,39,70,133,16,32,65,0.08604925,0.17309149,0.34741034,0.18548032,0.27704661,0.43105441
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-05 00:00:00.000000,0.21458693,0.38574972,0.73709151,40,72,139,17,33,69,0.09056650,0.17839791,0.36618348,0.18456365,0.27422113,0.42860322
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-06 00:00:00.000000,0.21603581,0.38989056,0.75844285,40,73,143,18,34,70,0.09733790,0.18382827,0.37470298,0.18449429,0.26670777,0.41341854
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-07 00:00:00.000000,0.22321824,0.39587387,0.75754695,42,74,143,18,35,71,0.09908187,0.19020093,0.37968377,0.17263452,0.26380383,0.39828424
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-08 00:00:00.000000,0.22740147,0.39970627,0.75237925,42,75,142,19,37,72,0.10131848,0.19692749,0.38213153,0.17213341,0.25863100,0.38881744
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-09 00:00:00.000000,0.23163852,0.41152836,0.76060473,43,77,143,19,38,73,0.10392824,0.20267462,0.39067511,0.17314773,0.25469210,0.38357692
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-10 00:00:00.000000,0.23588189,0.42285777,0.76542955,44,79,144,20,39,77,0.10675625,0.21083831,0.40774567,0.17614950,0.24739145,0.37876650
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-11 00:00:00.000000,0.24038242,0.43519225,0.78807702,45,82,148,20,41,79,0.10951232,0.21754531,0.41975274,0.17082136,0.24454804,0.36927671
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-12 00:00:00.000000,0.24567770,0.45590060,0.80654556,46,86,152,21,42,80,0.11202935,0.22344904,0.42769048,0.17345320,0.24175953,0.36325568
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-13 00:00:00.000000,0.26041467,0.45731106,0.81189833,49,86,153,21,42,81,0.11303842,0.22671842,0.43278310,0.17411625,0.23031210,0.35290584
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-14 00:00:00.000000,0.27556637,0.47064480,0.81085544,52,88,153,21,43,83,0.11388772,0.23003632,0.43970610,0.16036694,0.22689088,0.33951790
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-15 00:00:00.000000,0.28070454,0.48301146,0.82081138,53,91,155,21,43,84,0.11469399,0.23020969,0.44784083,0.15364494,0.22568488,0.32725675
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-16 00:00:00.000000,0.28728255,0.47644757,0.83873547,54,89,158,22,43,86,0.11912619,0.23156108,0.45676613,0.15425415,0.22717102,0.32470885
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-17 00:00:00.000000,0.29054934,0.47578121,0.85657279,54,89,161,22,44,88,0.11969608,0.23700519,0.46619978,0.15377192,0.22699388,0.32607753
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-18 00:00:00.000000,0.29408612,0.48162794,0.87467153,55,90,165,22,45,89,0.12012969,0.24005576,0.47597391,0.14877739,0.22327443,0.32485098
21097,0,USKentuckyHarrison,Kentucky,Harrison,2020-11-01 01:07:55.666283,2020-04-19 00:00:00.000000,0.29704020,0.48370538,0.88787697,56,91,167,22,46,91,0.12055960,0.24505195,0.48606872,0.14453813,0.22090279,0.33116981
