FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-09 00:00:00.000000,0.00360060,0.02726226,0.09534807,0,2,8,0,1,4,0.00156843,0.01313000,0.05053785,0.40044249,0.54009356,0.76861726
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-10 00:00:00.000000,0.00404504,0.03031502,0.10591223,0,2,9,0,1,4,0.00162157,0.01376533,0.04971814,0.40042308,0.54009353,0.76775111
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-11 00:00:00.000000,0.00450818,0.03340890,0.11705901,0,3,10,0,1,4,0.00174547,0.01491042,0.05142327,0.40039424,0.54009345,0.76596099
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-12 00:00:00.000000,0.00500318,0.03597313,0.12896641,0,3,11,0,1,4,0.00191535,0.01664762,0.05479215,0.40035167,0.54009324,0.76231535
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-13 00:00:00.000000,0.00554130,0.03924083,0.14177595,0,3,12,0,1,5,0.00211545,0.01805499,0.05932991,0.40034280,0.54009267,0.75511059
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-14 00:00:00.000000,0.00613165,0.04290569,0.15560151,0,3,13,0,1,5,0.00233803,0.01926741,0.06476163,0.40032320,0.54009113,0.75038562
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-15 00:00:00.000000,0.00678191,0.04627735,0.17052505,0,4,15,0,1,6,0.00257943,0.02018556,0.07094498,0.40027814,0.54008695,0.74886366
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-16 00:00:00.000000,0.01785338,0.06349755,0.20469173,1,5,18,0,1,6,0.00288877,0.02173722,0.07781806,0.40016338,0.53339309,0.74793131
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-17 00:00:00.000000,0.02419752,0.07998909,0.23201258,2,7,20,0,2,7,0.00534151,0.02530200,0.08824450,0.39445365,0.53356725,0.74570477
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-18 00:00:00.000000,0.02869517,0.09506615,0.25500390,2,8,22,0,2,9,0.00827496,0.03004850,0.10135311,0.38535915,0.52431122,0.73966555
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-19 00:00:00.000000,0.03424877,0.11570845,0.28654705,3,10,25,0,3,10,0.01108606,0.03795968,0.11664847,0.35962284,0.51992700,0.72404079
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-20 00:00:00.000000,0.04096531,0.13451560,0.32155527,3,12,28,1,4,12,0.01429864,0.04484804,0.13374818,0.33054646,0.50434494,0.69993610
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-21 00:00:00.000000,0.04777087,0.15614490,0.36563688,4,14,32,1,4,13,0.01837940,0.05473759,0.15193643,0.30887844,0.49452985,0.69228841
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-22 00:00:00.000000,0.05479991,0.17815546,0.40674053,4,16,36,1,5,15,0.02151989,0.06485933,0.17012438,0.28736695,0.47795454,0.68661405
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-23 00:00:00.000000,0.07244037,0.19995159,0.44316251,6,17,39,2,6,16,0.02516517,0.07679675,0.18790130,0.27583757,0.46080444,0.68269618
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-24 00:00:00.000000,0.09032208,0.22708052,0.48881304,8,20,43,2,7,18,0.03062887,0.08767506,0.20668519,0.26670092,0.44704026,0.65753025
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-25 00:00:00.000000,0.10885734,0.25584490,0.53857661,9,22,48,3,9,20,0.03809324,0.10048951,0.22633751,0.25929860,0.43491008,0.61963350
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-26 00:00:00.000000,0.12799774,0.28444860,0.58318660,11,25,52,4,10,22,0.04684342,0.11401991,0.24680977,0.25065688,0.42538216,0.59594992
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-27 00:00:00.000000,0.14746996,0.31157060,0.62646840,13,28,56,5,11,24,0.05588988,0.12845593,0.27244869,0.23574782,0.41142479,0.58820675
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-28 00:00:00.000000,0.16668990,0.33763348,0.66985113,14,30,60,5,12,27,0.06397829,0.14309376,0.30141723,0.23080180,0.39778692,0.57576451
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-29 00:00:00.000000,0.18302821,0.36836161,0.71598556,16,33,64,6,14,29,0.07226836,0.15731878,0.33073775,0.22867873,0.38133895,0.56902914
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-30 00:00:00.000000,0.19829371,0.40197622,0.74158208,17,36,66,7,15,32,0.08076897,0.17175780,0.36035117,0.22763143,0.37249992,0.56619419
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-03-31 00:00:00.000000,0.21387192,0.43503761,0.75917798,19,39,68,7,16,34,0.08894726,0.18733140,0.38862215,0.22720823,0.35884358,0.56174059
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-04-01 00:00:00.000000,0.22988810,0.47025720,0.81493833,20,42,73,8,18,37,0.09697713,0.20399698,0.41629789,0.22709972,0.34635023,0.55581472
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-04-02 00:00:00.000000,0.24630977,0.50638689,0.87756427,22,45,78,9,19,40,0.10497834,0.22027514,0.44860581,0.22031356,0.33903278,0.54768795
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-04-03 00:00:00.000000,0.26282955,0.54399560,0.93776110,23,48,84,10,21,42,0.11590657,0.23559516,0.47202713,0.20561592,0.33713570,0.54492315
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-04-04 00:00:00.000000,0.27957799,0.59076701,0.98344434,25,53,88,11,22,43,0.12394882,0.25059534,0.48778789,0.20625530,0.32817189,0.53591040
28021,0,USMississippiClaiborne,Mississippi,Claiborne,2020-10-16 22:20:48.370524,2020-04-05 00:00:00.000000,0.29674927,0.62851618,1.02796069,26,56,92,11,24,45,0.13227503,0.26942650,0.50394414,0.21435154,0.31609615,0.51010096
