FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-09 00:00:00.000000,0.00280168,0.01181498,0.04515121,1,4,16,0,2,8,0.00104860,0.00620922,0.02205805,0.42225849,0.54861702,0.77866052
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-10 00:00:00.000000,0.00322651,0.01326402,0.04776488,1,4,17,0,2,8,0.00128324,0.00617005,0.02242526,0.42225425,0.54854992,0.77866039
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-11 00:00:00.000000,0.00348592,0.01490664,0.05048977,1,5,18,0,2,8,0.00153549,0.00645491,0.02308812,0.42224421,0.54843343,0.77865993
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-12 00:00:00.000000,0.00375920,0.01640433,0.05334616,1,6,19,0,2,8,0.00164704,0.00718007,0.02397487,0.42222049,0.54823147,0.77865839
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-13 00:00:00.000000,0.00404580,0.01774470,0.05635084,1,6,20,0,2,9,0.00177309,0.00788800,0.02503875,0.42216441,0.54788223,0.77865314
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-14 00:00:00.000000,0.00434793,0.01898924,0.05951841,1,7,22,0,3,9,0.00191149,0.00856665,0.02624994,0.42203192,0.54728099,0.77863508
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-15 00:00:00.000000,0.00466771,0.02043673,0.06571216,1,7,24,0,3,10,0.00205894,0.00915457,0.02859227,0.42171951,0.54625245,0.77857260
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-16 00:00:00.000000,0.01027531,0.02798014,0.08100942,3,10,30,0,3,11,0.00221524,0.00989803,0.03171451,0.41926335,0.54548039,0.77835582
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-17 00:00:00.000000,0.01492417,0.03427019,0.09633846,5,12,35,1,4,13,0.00362312,0.01200645,0.03586240,0.41262185,0.54489913,0.77760522
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-18 00:00:00.000000,0.01847622,0.04168643,0.11175998,6,15,41,2,5,15,0.00557518,0.01438252,0.04235591,0.38502811,0.54322015,0.77504745
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-19 00:00:00.000000,0.02209820,0.04912533,0.12723907,8,18,47,2,6,18,0.00749787,0.01738029,0.04965117,0.35313649,0.53390709,0.76630947
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-20 00:00:00.000000,0.02566883,0.05872253,0.14303286,9,21,53,3,7,21,0.00918730,0.02137867,0.05746543,0.32466207,0.50823927,0.76301139
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-21 00:00:00.000000,0.02858652,0.06484996,0.15932499,10,24,59,4,9,24,0.01089028,0.02537940,0.06566817,0.30735505,0.47629172,0.72567461
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-22 00:00:00.000000,0.03182473,0.07338411,0.17607116,11,27,65,4,10,27,0.01250601,0.02930426,0.07421596,0.28633824,0.45177608,0.69409895
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-23 00:00:00.000000,0.03966719,0.08413271,0.18885523,14,31,70,5,12,30,0.01397695,0.03346829,0.08307574,0.27635762,0.43601078,0.67610918
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-24 00:00:00.000000,0.04707403,0.09383903,0.20152088,17,34,74,6,14,33,0.01641979,0.03821735,0.09135923,0.26803731,0.41783026,0.66127261
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-25 00:00:00.000000,0.05065325,0.10235244,0.21372708,18,38,79,7,15,36,0.01953038,0.04224619,0.09922279,0.25818176,0.40370786,0.64703585
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-26 00:00:00.000000,0.05707988,0.11040330,0.22554210,21,41,83,8,17,39,0.02301534,0.04681220,0.10672663,0.24188412,0.38965602,0.62805755
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-27 00:00:00.000000,0.06113610,0.11859066,0.23841159,22,44,88,9,19,42,0.02630520,0.05120775,0.11433896,0.23532067,0.38006690,0.59888689
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-28 00:00:00.000000,0.06544462,0.12463431,0.25520560,24,46,94,10,20,46,0.02917354,0.05499741,0.12432051,0.21344697,0.36203905,0.55973958
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-29 00:00:00.000000,0.06815265,0.13197064,0.27220096,25,49,101,11,21,49,0.03184940,0.05849564,0.13419572,0.19496574,0.34639542,0.53354063
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-30 00:00:00.000000,0.07350326,0.14546284,0.29102694,27,54,108,13,23,53,0.03581892,0.06329133,0.14405261,0.18952502,0.33597028,0.53220244
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-03-31 00:00:00.000000,0.07874192,0.15739964,0.30997027,29,58,115,14,25,57,0.03870411,0.06983271,0.15414153,0.18822687,0.32631706,0.52987580
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-01 00:00:00.000000,0.08397772,0.17137768,0.33068809,31,63,123,15,28,61,0.04163811,0.07676637,0.16457852,0.18792520,0.31227033,0.52464095
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-02 00:00:00.000000,0.08917627,0.18622988,0.35245597,33,69,131,16,30,65,0.04459055,0.08310082,0.17554624,0.18762746,0.29797616,0.51995611
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-03 00:00:00.000000,0.09799826,0.20079368,0.37519698,36,74,139,17,33,69,0.04751749,0.08974356,0.18738052,0.17090479,0.28801890,0.51031080
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-04 00:00:00.000000,0.10592717,0.21055585,0.39868142,39,78,148,18,36,74,0.05040731,0.09700212,0.19976879,0.16719211,0.27501252,0.48461794
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-05 00:00:00.000000,0.11060184,0.21782554,0.42279424,41,81,157,19,38,79,0.05328229,0.10421800,0.21269505,0.16656448,0.27122456,0.45723349
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-06 00:00:00.000000,0.11839819,0.22263765,0.44755438,44,82,166,21,41,84,0.05810224,0.11135396,0.22615855,0.16643108,0.26496878,0.43145998
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-07 00:00:00.000000,0.12180092,0.22695214,0.47345582,45,84,176,22,43,89,0.06097413,0.11673340,0.24004220,0.16310288,0.26148633,0.41297379
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-08 00:00:00.000000,0.12513867,0.23714951,0.50056839,46,88,186,23,44,94,0.06380820,0.12061186,0.25443790,0.15695720,0.25193666,0.39730787
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-09 00:00:00.000000,0.12837353,0.24660803,0.50768099,47,91,188,24,45,100,0.06632442,0.12240287,0.26942476,0.15449512,0.24205884,0.38541621
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-10 00:00:00.000000,0.13135117,0.25056586,0.50773985,48,93,188,25,46,106,0.06844838,0.12456918,0.28497684,0.15198108,0.23926179,0.37541351
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-11 00:00:00.000000,0.13408705,0.25422358,0.50643661,49,94,188,26,48,111,0.07058775,0.13048177,0.29970991,0.13795013,0.23140207,0.36574707
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-12 00:00:00.000000,0.13660776,0.26245522,0.50455600,50,97,187,26,50,111,0.07240050,0.13453982,0.30076220,0.13108463,0.22584785,0.36543052
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-13 00:00:00.000000,0.13703437,0.26762027,0.49949230,50,99,185,27,50,111,0.07405349,0.13620791,0.30092345,0.12569418,0.21923280,0.36452269
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-14 00:00:00.000000,0.13733081,0.26866716,0.49420895,51,99,183,27,51,111,0.07515603,0.13954489,0.29994962,0.12500355,0.20947658,0.36239346
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-15 00:00:00.000000,0.13747613,0.26867372,0.48860844,51,99,181,28,52,110,0.07588075,0.14087925,0.29818365,0.12452820,0.20037029,0.33407728
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-16 00:00:00.000000,0.13756072,0.27080251,0.48256347,51,100,179,28,52,110,0.07637105,0.14241755,0.29584552,0.11979208,0.19346198,0.31700044
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-17 00:00:00.000000,0.13900856,0.26877409,0.47576551,51,99,177,28,53,109,0.07762904,0.14506539,0.29304795,0.11828139,0.18704578,0.30789159
17121,0,USIllinoisMarion,Illinois,Marion,2020-10-28 00:34:50.526556,2020-04-18 00:00:00.000000,0.14377956,0.26757879,0.47249054,53,99,175,29,54,107,0.08046300,0.14663951,0.28979641,0.11384370,0.18332481,0.28510404
