FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-09 00:00:00.000000,0.00170558,0.01320979,0.05432210,0,1,7,0,1,4,0.00104092,0.00775362,0.03269554,0.35631191,0.50894813,0.70198198
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-10 00:00:00.000000,0.00196444,0.01507831,0.05990733,0,2,8,0,1,4,0.00104883,0.00776844,0.03213234,0.35631147,0.50894785,0.70198113
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-11 00:00:00.000000,0.00224150,0.01678901,0.06577648,0,2,9,0,1,4,0.00113184,0.00817659,0.03480229,0.35630969,0.50894692,0.70197976
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-12 00:00:00.000000,0.00254311,0.01850944,0.06883773,0,2,9,0,1,5,0.00125811,0.00868372,0.03751409,0.35630238,0.50894382,0.70197755
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-13 00:00:00.000000,0.00287524,0.02016835,0.07113154,0,2,10,0,1,5,0.00141412,0.00937176,0.03748212,0.35627239,0.50893352,0.70197372
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-14 00:00:00.000000,0.00324314,0.02194197,0.07372464,0,3,10,0,1,5,0.00159430,0.01033221,0.03800725,0.35614951,0.50889934,0.70174876
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-15 00:00:00.000000,0.00365195,0.02384293,0.07658505,0,3,10,0,1,5,0.00179764,0.01147204,0.03973425,0.35197041,0.50110252,0.69362995
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-16 00:00:00.000000,0.00410611,0.02601423,0.08070520,0,3,11,0,1,6,0.00202521,0.01261278,0.04315059,0.33817299,0.49113234,0.68992923
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-17 00:00:00.000000,0.00459950,0.02817547,0.08738247,0,4,12,0,1,6,0.00227892,0.01371506,0.04615443,0.33794386,0.48060969,0.68626992
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-18 00:00:00.000000,0.00504488,0.03072107,0.09450045,0,4,13,0,2,6,0.00255810,0.01492273,0.04867742,0.30540300,0.46821124,0.67249448
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-19 00:00:00.000000,0.00534084,0.03369706,0.10210105,0,4,14,0,2,7,0.00283744,0.01630788,0.05143600,0.26555866,0.45581620,0.63188540
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-20 00:00:00.000000,0.00576948,0.03564702,0.11022097,0,5,15,0,2,7,0.00307342,0.01776096,0.05442159,0.25022023,0.43812423,0.62551190
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-21 00:00:00.000000,0.00632925,0.03757740,0.11888293,0,5,16,0,2,8,0.00327514,0.01944179,0.05762828,0.22580606,0.41541033,0.55179136
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-22 00:00:00.000000,0.00690383,0.03953868,0.12681115,0,5,18,0,3,8,0.00345973,0.02114905,0.06105417,0.21614157,0.38716177,0.53966009
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-23 00:00:00.000000,0.01185818,0.05019919,0.13967035,1,7,19,0,3,9,0.00363801,0.02252084,0.06469996,0.21060306,0.37541436,0.53220348
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-24 00:00:00.000000,0.01600607,0.06045188,0.14852179,2,8,21,0,3,9,0.00539713,0.02557402,0.06946597,0.20394786,0.35490864,0.52415901
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-25 00:00:00.000000,0.02082153,0.07129790,0.15664153,2,10,22,1,4,10,0.00746637,0.02905925,0.07530086,0.19867065,0.33864588,0.50999738
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-26 00:00:00.000000,0.02601220,0.07982404,0.16642919,3,11,23,1,4,11,0.00919260,0.03395310,0.08397041,0.19452018,0.33324303,0.48657443
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-27 00:00:00.000000,0.03160953,0.09110808,0.18322248,4,13,26,1,5,12,0.01115720,0.04027236,0.09015951,0.18154298,0.32103713,0.47586984
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-28 00:00:00.000000,0.03766744,0.10344686,0.20782394,5,14,29,1,6,13,0.01375614,0.04617326,0.09653387,0.16888350,0.30620199,0.47402423
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-29 00:00:00.000000,0.04423316,0.11539226,0.22354309,6,16,31,2,7,15,0.01683916,0.05239877,0.10984154,0.15436600,0.30421422,0.46428701
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-30 00:00:00.000000,0.04985336,0.12767191,0.24205376,7,18,34,2,8,17,0.02024463,0.05885121,0.12046369,0.14266497,0.29040660,0.45631111
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-03-31 00:00:00.000000,0.05625329,0.13858157,0.25935987,8,19,37,3,9,18,0.02368556,0.06584480,0.12793677,0.13689732,0.28046334,0.43268833
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-01 00:00:00.000000,0.06757692,0.14633148,0.27421667,9,20,39,3,10,19,0.02759560,0.07107878,0.13606384,0.13678386,0.26577193,0.42664914
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-02 00:00:00.000000,0.07907489,0.15632442,0.28749114,11,22,41,4,11,20,0.03371615,0.07770446,0.14486556,0.13624314,0.25794703,0.42077790
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-03 00:00:00.000000,0.08830331,0.16943817,0.29665853,12,24,42,5,12,21,0.03917645,0.08517151,0.15348076,0.13321878,0.24931157,0.39755218
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-04 00:00:00.000000,0.09585756,0.18118073,0.30650342,13,25,43,6,12,23,0.04433008,0.09074152,0.16185032,0.13064928,0.23668063,0.37533440
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-05 00:00:00.000000,0.10227337,0.18682112,0.32155377,14,26,45,6,14,24,0.04880446,0.09818941,0.17415000,0.12769041,0.22256488,0.35405560
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-06 00:00:00.000000,0.10799224,0.19662074,0.33412553,15,28,47,7,14,25,0.05336409,0.10389434,0.17876693,0.12254959,0.21992273,0.34403752
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-07 00:00:00.000000,0.11347795,0.20435201,0.35039982,16,29,50,8,15,26,0.05802991,0.10859006,0.18735541,0.11966487,0.20749307,0.33934685
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-08 00:00:00.000000,0.11874236,0.21207746,0.36679126,16,30,52,8,16,28,0.06281168,0.11702266,0.19748543,0.11252315,0.20051153,0.33580089
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-09 00:00:00.000000,0.12364364,0.21932361,0.38264297,17,31,54,9,17,29,0.06776577,0.12325630,0.20809427,0.11030115,0.19103658,0.32196441
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-10 00:00:00.000000,0.12819088,0.22348077,0.39667159,18,31,56,10,18,31,0.07254732,0.12823444,0.21872682,0.10916208,0.18454269,0.30620023
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-11 00:00:00.000000,0.13190785,0.22711769,0.40719013,18,32,58,10,19,32,0.07379744,0.13337898,0.22913395,0.10986292,0.17976574,0.29025460
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-12 00:00:00.000000,0.13435252,0.23302807,0.41755288,19,33,59,11,19,34,0.07869785,0.13757030,0.23880675,0.10894341,0.17241690,0.28367473
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-13 00:00:00.000000,0.13158951,0.23257582,0.42048970,18,33,60,11,20,35,0.08296428,0.14053983,0.24721869,0.10779707,0.17030929,0.26504359
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-14 00:00:00.000000,0.12874647,0.23053684,0.41785741,18,32,59,11,20,35,0.08391468,0.14211610,0.24661706,0.10743634,0.16888395,0.25289055
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-15 00:00:00.000000,0.12620133,0.22937569,0.40867895,18,32,58,12,20,34,0.08562970,0.14081867,0.24153124,0.10703863,0.16516319,0.24839890
48313,0,USTexasMadison,Texas,Madison,2020-11-15 09:23:10.807271,2020-04-16 00:00:00.000000,0.12451540,0.22826874,0.39655250,17,32,56,12,20,33,0.08451666,0.14009174,0.23431289,0.10600742,0.16230134,0.24581835
