FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-09 00:00:00.000000,0.00115322,0.00483289,0.01235115,1,7,19,0,2,8,0.00031019,0.00179932,0.00528592,0.42109191,0.59427444,0.78758652
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-10 00:00:00.000000,0.00175308,0.00607835,0.01424225,2,9,22,0,3,8,0.00040340,0.00191596,0.00561636,0.42104337,0.59377936,0.78735733
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-11 00:00:00.000000,0.00238375,0.00756781,0.01621477,3,12,25,0,3,10,0.00054964,0.00236636,0.00637806,0.42095330,0.59285383,0.78703141
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-12 00:00:00.000000,0.00297677,0.00896105,0.01830199,4,14,29,1,4,11,0.00076956,0.00276657,0.00734166,0.42094530,0.59122121,0.78656470
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-13 00:00:00.000000,0.00359682,0.01057538,0.02066209,5,16,32,1,5,13,0.00103169,0.00328278,0.00847373,0.42093822,0.59037361,0.78588806
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-14 00:00:00.000000,0.00436745,0.01245294,0.02415554,6,19,38,2,6,15,0.00127889,0.00384453,0.00976800,0.42091555,0.58781989,0.78488537
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-15 00:00:00.000000,0.00520341,0.01444806,0.02787466,8,23,44,2,7,17,0.00155530,0.00448546,0.01122844,0.42043924,0.58171098,0.78334277
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-16 00:00:00.000000,0.00673797,0.01603551,0.03126659,10,25,49,2,8,20,0.00186024,0.00536935,0.01286276,0.41223969,0.57274186,0.78082314
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-17 00:00:00.000000,0.00799837,0.01778643,0.03517246,12,28,56,3,9,23,0.00231380,0.00617733,0.01482805,0.39646295,0.56857669,0.77634640
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-18 00:00:00.000000,0.00887055,0.01968693,0.03949284,14,31,63,4,11,27,0.00286452,0.00700820,0.01704827,0.38841966,0.55455274,0.76760828
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-19 00:00:00.000000,0.01049461,0.02150809,0.04366597,16,34,69,5,12,30,0.00347463,0.00810054,0.01942373,0.34691517,0.53824306,0.74945956
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-20 00:00:00.000000,0.01228818,0.02348070,0.04789229,19,37,76,6,14,34,0.00409932,0.00920461,0.02187635,0.33420170,0.52115254,0.72844999
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-21 00:00:00.000000,0.01404097,0.02613725,0.05352387,22,41,85,7,16,38,0.00456114,0.01031006,0.02439095,0.33082596,0.51134642,0.72115820
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-22 00:00:00.000000,0.01578225,0.02918096,0.05725106,25,46,91,8,18,43,0.00520000,0.01153256,0.02698966,0.32083781,0.49476991,0.70873281
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-23 00:00:00.000000,0.01697075,0.03231148,0.06275444,27,51,100,9,20,47,0.00585916,0.01277063,0.02970355,0.29601412,0.48795306,0.69597432
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-24 00:00:00.000000,0.01803661,0.03545532,0.06882135,28,56,109,10,22,52,0.00632481,0.01412524,0.03267554,0.28113997,0.48034774,0.68648553
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-25 00:00:00.000000,0.01910075,0.03876085,0.07355896,30,61,117,10,24,57,0.00679735,0.01557027,0.03588866,0.28040915,0.46949186,0.64612841
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-26 00:00:00.000000,0.02028807,0.04171219,0.07742188,32,66,123,11,27,60,0.00726426,0.01712070,0.03776648,0.26586653,0.46005702,0.64259940
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-27 00:00:00.000000,0.02128826,0.04432451,0.08121165,33,70,129,12,30,63,0.00771603,0.01881430,0.03958768,0.25512771,0.44174065,0.62768499
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-28 00:00:00.000000,0.02229933,0.04729382,0.08499988,35,75,135,13,32,66,0.00815391,0.02068158,0.04139510,0.24718967,0.43732817,0.61322171
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-29 00:00:00.000000,0.02334226,0.05127027,0.08877147,37,81,141,13,35,68,0.00858426,0.02239518,0.04319998,0.23724389,0.41789084,0.57628906
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-30 00:00:00.000000,0.02505853,0.05535520,0.09523810,39,88,151,14,37,71,0.00901838,0.02371289,0.04501358,0.23381937,0.41171313,0.55025699
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-03-31 00:00:00.000000,0.02694555,0.05918116,0.10496220,42,94,167,15,40,74,0.00956217,0.02532061,0.04688103,0.23366452,0.39906917,0.53644265
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-01 00:00:00.000000,0.02917425,0.06154434,0.11525768,46,98,183,16,42,79,0.01035887,0.02684587,0.04997011,0.23350952,0.38642076,0.51961364
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-02 00:00:00.000000,0.03148527,0.06324406,0.12442650,50,100,198,17,44,85,0.01123608,0.02809652,0.05383970,0.22378077,0.38558018,0.50268066
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-03 00:00:00.000000,0.03291215,0.06510335,0.13083327,52,103,208,19,46,92,0.01216647,0.02934828,0.05782171,0.22405751,0.36991096,0.49667216
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-04 00:00:00.000000,0.03468908,0.06862620,0.13672287,55,109,218,20,49,98,0.01314834,0.03081544,0.06190950,0.23014339,0.35481008,0.48762549
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-05 00:00:00.000000,0.03686822,0.07128591,0.14133791,58,113,225,22,52,105,0.01391434,0.03271871,0.06610110,0.22313984,0.34498717,0.48368244
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-06 00:00:00.000000,0.03905004,0.07500972,0.14561714,62,119,232,23,54,112,0.01442174,0.03438679,0.07039316,0.20504742,0.33887712,0.47959800
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-07 00:00:00.000000,0.04128495,0.07951369,0.15286758,65,126,243,24,57,118,0.01505474,0.03596259,0.07419360,0.19968754,0.33760748,0.47065809
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-08 00:00:00.000000,0.04355217,0.08341317,0.15961402,69,133,254,25,59,123,0.01577266,0.03753743,0.07767074,0.19863726,0.33688053,0.46553019
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-09 00:00:00.000000,0.04582673,0.08836278,0.16571081,73,140,264,26,62,129,0.01668143,0.03918091,0.08093401,0.19833666,0.33422195,0.46528885
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-10 00:00:00.000000,0.04808182,0.09269657,0.17147574,76,147,273,28,64,134,0.01760455,0.04071308,0.08405681,0.19805332,0.33311188,0.46482070
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-11 00:00:00.000000,0.05029893,0.09678279,0.17713909,80,154,282,29,68,138,0.01853196,0.04283486,0.08708169,0.19758424,0.32937904,0.45531465
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-12 00:00:00.000000,0.05247545,0.10072164,0.18280660,83,160,291,31,71,143,0.01945566,0.04483269,0.09003027,0.19790477,0.32833366,0.45424627
37035,0,USNorthCarolinaCatawba,North Carolina,Catawba,2020-10-16 21:14:45.159663,2020-04-13 00:00:00.000000,0.05426925,0.10328196,0.18799929,86,164,299,32,74,148,0.02037028,0.04698377,0.09291471,0.19886268,0.32340776,0.46019866
