FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-09 00:00:00.000000,0.00615645,0.03278833,0.08995976,0,3,10,0,2,6,0.00341911,0.01835187,0.05325137,0.38858311,0.51182458,0.67131969
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-10 00:00:00.000000,0.00674327,0.03609606,0.09871435,0,4,11,0,2,6,0.00329788,0.01788746,0.05185829,0.38858156,0.51181104,0.67126613
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-11 00:00:00.000000,0.00768370,0.03880966,0.10794283,0,4,13,0,2,6,0.00342648,0.01899732,0.05447912,0.38857776,0.51177743,0.67115741
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-12 00:00:00.000000,0.00864618,0.04153865,0.11749317,1,5,14,0,2,7,0.00370811,0.02053478,0.05893250,0.38856782,0.51169406,0.67093684
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-13 00:00:00.000000,0.00966408,0.04471440,0.12722669,1,5,15,0,2,7,0.00409766,0.02164675,0.06422160,0.38854061,0.51148752,0.67048992
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-14 00:00:00.000000,0.01075872,0.04782544,0.13712171,1,5,16,0,2,8,0.00457022,0.02341311,0.06986282,0.38846396,0.51089512,0.66958656
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-15 00:00:00.000000,0.01193980,0.05056380,0.14707120,1,6,17,0,3,9,0.00511273,0.02508747,0.07475754,0.38824473,0.50712376,0.66776179
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-16 00:00:00.000000,0.02767592,0.06737179,0.16838308,3,8,20,0,3,9,0.00571830,0.02687172,0.07966030,0.38298514,0.50226982,0.66411314
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-17 00:00:00.000000,0.03650334,0.08282346,0.19443297,4,10,23,1,3,10,0.00929705,0.03097558,0.08915719,0.37056410,0.49305198,0.65701392
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-18 00:00:00.000000,0.04226693,0.09981965,0.22138132,5,12,26,1,4,11,0.01480660,0.03662582,0.09790165,0.35097537,0.48144232,0.64377248
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-19 00:00:00.000000,0.05181725,0.11759729,0.24951408,6,14,30,2,5,13,0.01920166,0.04267938,0.11018296,0.31331782,0.46472505,0.63353204
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-20 00:00:00.000000,0.06225458,0.13418010,0.28219171,7,16,34,2,6,16,0.02407991,0.05134049,0.13457440,0.31019306,0.44375740,0.60695065
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-21 00:00:00.000000,0.06963816,0.15177422,0.31227966,8,18,37,3,7,18,0.02762346,0.06216325,0.15465743,0.28990190,0.42075471,0.58030022
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-22 00:00:00.000000,0.07673530,0.16471693,0.35361515,9,19,42,3,8,20,0.03139909,0.07093361,0.17219754,0.27437889,0.39932304,0.55996353
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-23 00:00:00.000000,0.08500172,0.18503474,0.37567256,10,22,45,4,9,22,0.03508105,0.08160528,0.18696562,0.25972773,0.37340653,0.53889501
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-24 00:00:00.000000,0.09321812,0.20807717,0.40009527,11,25,48,5,10,24,0.04230973,0.09023385,0.20157672,0.25215197,0.36398304,0.52300609
29017,0,USMissouriBollinger,Missouri,Bollinger,2020-10-27 18:35:18.665351,2020-03-25 00:00:00.000000,0.10151369,0.22764094,0.42472655,12,27,51,5,12,26,0.04714938,0.10105739,0.21590799,0.24022413,0.35352302,0.52672902
