FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-09 00:00:00.000000,0.00545172,0.01277409,0.02298423,7,17,32,0,5,11,0.00067761,0.00408552,0.00803382,0.72446227,0.90405437,1.14267250
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-10 00:00:00.000000,0.00829853,0.01842155,0.03097120,11,25,43,2,8,14,0.00195414,0.00603395,0.01056576,0.72443509,0.90403771,1.14267158
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-11 00:00:00.000000,0.01174561,0.02465169,0.04022865,16,34,56,6,12,20,0.00452855,0.00875101,0.01435683,0.72439880,0.90399627,1.14266992
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-12 00:00:00.000000,0.01591588,0.03210311,0.05117322,22,45,71,9,17,26,0.00670268,0.01244483,0.01901015,0.72435149,0.90391184,1.14266694
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-13 00:00:00.000000,0.02096145,0.04112939,0.06413413,29,57,90,13,22,34,0.00929762,0.01632528,0.02474595,0.72429318,0.90373982,1.14266151
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-14 00:00:00.000000,0.02706710,0.05133484,0.07942764,38,72,111,17,30,44,0.01221391,0.02144362,0.03149632,0.72423138,0.90338982,1.14265146
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-15 00:00:00.000000,0.03359074,0.06380824,0.09747329,47,89,136,21,37,55,0.01540643,0.02698768,0.03964572,0.72419764,0.90268046,1.14263209
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-16 00:00:00.000000,0.04478297,0.07763751,0.11877616,62,109,166,26,46,69,0.01892218,0.03343514,0.04979564,0.72429445,0.90125571,1.14259188
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-17 00:00:00.000000,0.05899298,0.09406058,0.14389194,82,132,202,34,57,85,0.02443961,0.04117079,0.06057507,0.72481965,0.89889416,1.14233280
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-18 00:00:00.000000,0.07450791,0.11124952,0.17358539,104,156,243,43,70,105,0.03094079,0.04988869,0.07479394,0.72653809,0.89867136,1.14013020
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-19 00:00:00.000000,0.08929872,0.13382213,0.20862216,125,188,293,55,84,131,0.03938024,0.06009916,0.09351483,0.72225082,0.88760872,1.13346677
34037,0,USNewJerseySussex,New Jersey,Sussex,2020-10-16 20:25:36.154965,2020-03-20 00:00:00.000000,0.10942381,0.15997811,0.24944366,153,224,350,69,100,157,0.04978248,0.07141578,0.11201602,0.70439916,0.87728040,1.11450020
